Disease,Specialization
Pseudohypoparathyroidism,Endocrinologist
Goiter,Endocrinologist
Urge incontinence,Urologist
Edward syndrome,General Physician
Open wound of the arm,General Physician
Muscular dystrophy,Neurologist
Mittelschmerz,Gynecologist
Corneal abrasion,Ophthalmologist
Intracranial hemorrhage,Neuro Surgeon
Hyperkalemia,Nephrologist
Cornea infection,Infectious Disease Specialist
Abscess of the lung,Pulmonologist
Dengue fever,Infectious Disease Specialist
Chronic sinusitis,ENT Specialist
Cholesteatoma,ENT Specialist
Volvulus,General Physician
Injury to the finger,Orthopedic
Poisoning due to analgesics,General Physician
Atrial fibrillation,Cardiologist
Pinworm infection,Infectious Disease Specialist
Urethral valves,Urologist
Open wound of the neck,General Physician
Achalasia,Gastroenterologist
Conductive hearing loss,ENT Specialist
Abdominal hernia,General Physician
Cerebral palsy,Neurologist
Marijuana abuse,General Physician
Cryptococcosis,Infectious Disease Specialist
Obesity,Endocrinologist
Indigestion,Gastroenterologist
Bursitis,Orthopedic
Esophageal cancer,Oncologist
Pulmonary congestion,Pulmonologist
Juvenile rheumatoid arthritis,Rheumatologist
Acute otitis media,ENT Specialist
Astigmatism,Ophthalmologist
Tuberous sclerosis,Neurologist
Empyema,Pulmonologist
Presbyacusis,ENT Specialist
Neonatal jaundice,Pediatrician
Chronic obstructive pulmonary disease (COPD),Pulmonologist
Dislocation of the elbow,Orthopedic
Spondylosis,Orthopedic
Herpangina,Pediatrician
Injury to the shoulder,Orthopedic
Poisoning due to antidepressants,General Physician
Infection of open wound,Infectious Disease Specialist
Deep vein thrombosis (DVT),Hematologist
Protein deficiency,Endocrinologist
Myoclonus,Neurologist
Bone spur of the calcaneous,Orthopedic
Von Willebrand disease,Hematologist
Open wound of the back,Dermatologist
Heart block,Cardiologist
Colonic polyp,Gastroenterologist
Hypospadias,Urologist
Magnesium deficiency,Nephrologist
Female infertility of unknown cause,Endocrinologist
Pericarditis,Cardiologist
Attention deficit hyperactivity disorder (ADHD),Psychiatrist
Neuromyelitis optica,Neurologist
Pulmonic valve disease,Cardiologist
Tietze syndrome,Rheumatologist
Cranial nerve palsy,Neurologist
Injury to the arm,Orthopedic
Conversion disorder,Psychiatrist
Complex regional pain syndrome,Neurologist 
Otosclerosis,ENT specialist
Injury to the trunk,Orthopedic
Hypothyroidism,Endocrinologist
Primary insomnia,Psychiatrist
Lice,Dermatologist
Vitamin B12 deficiency,Hematologist
Diabetes,Endocrinologist
Vulvodynia,Gynecologist
Endometriosis,Gynecologist
Vasculitis,Rheumatologist
Concussion,Neurologist
Oral leukoplakia,ENT specialist
Chronic kidney disease,Nephrologist
Bladder disorder,Urologist
Chorioretinitis,Ophthalmologist
Priapism,Urologist
Myositis,Rheumatologist
Mononucleosis,General Physician
Neuralgia,Neurologist
Polycystic kidney disease,Nephrologist
Bipolar disorder,Psychiatrist
Amyloidosis,Hematologist
Chronic inflammatory demyelinating polyneuropathy (CIDP),Neurologist
Gastroesophageal reflux disease (GERD),Gastroenterologist
Vitreous hemorrhage,Ophthalmologist
Poisoning due to antimicrobial drugs,General Physician
Open wound of the mouth,ENT specialist
Myasthenia gravis,Neurologist
Hypoglycemia,Endocrinologist
Idiopathic absence of menstruation,Gynecologist
Dislocation of the ankle,Orthopedic
Carbon monoxide poisoning,General physician
Panic attack,Psychiatrist
Plantar fasciitis,Orthopedician
Hyperopia,Ophthalmologist
Poisoning due to sedatives,General Physician
Pemphigus,Dermatologist
Peyronie disease,Urologist
Hiatal hernia,Gastroenterologist 
Extrapyramidal effect of drugs,Neurologist 
Meniere disease,ENT specialist
Anal fissure,General Physician
Allergy,Immunologist
Chronic otitis media,ENT specialist
Hirschsprung disease,General Physician
Polymyalgia rheumatica,Rheumatologist
Lymphedema,Vascular surgeon
Bladder cancer,Urologist
Acute bronchospasm,Pulmonologist
Acute glaucoma,Ophthalmologist
Open wound of the chest,General Surgeon 
Dislocation of the patella,Orthopedic
Sciatica,Orthopedic
Hypercalcemia,Endocrinologist
Stress incontinence,Urologist
Varicose veins,Vascular surgeon
Benign kidney cyst,Nephrologist
Hydrocele of the testicle,Urologist
Degenerative disc disease,Neurologist
Hirsutism,Endocrinologist
Dislocation of the foot,Orthopedician
Hydronephrosis,Urologist
Diverticulosis,Gastroenterologist
Pain after an operation,Anesthesiologist
Huntington disease,Neurologist
West Nile virus,Infectious disease specialist
Lymphoma,Hematologist,,,
Anemia due to chronic kidney disease,Nephrologist
Injury to internal organ,General surgeon
Scleritis,Ophthalmologist
Pterygium,Ophthalmologist
Fungal infection of the skin,Dermatologist
Insulin overdose,Endocrinologist
Syndrome of inappropriate secretion of ADH (SIADH),Endocrinologist
Foreign body in the ear,ENT Specialist
Premenstrual tension syndrome,Gynecologist
Orbital cellulitis,Ophthalmologist
Injury to the leg,Orthopedic Surgeon
Hepatic encephalopathy,Hepatologist
Bone cancer,Oncologist
Leishmaniasis,Infectious Disease Specialist
Chagas disease,Infectious Disease Speacialist
Syringomyelia,Neuro Surgeon
Pulmonary fibrosis,Pulmonologist
Mitral valve disease,Cardiologist
Parkinson disease,Neurologist
Gout,Rheumatologist
Otitis media,ENT specialist
Drug abuse (opioids),General Physician
Myelodysplastic syndrome,Hematologist
Fracture of the shoulder,Orthopedic Surgeon
Acute kidney injury,Nephrologist
Threatened pregnancy,Gynecologist
Intracranial abscess,Neuro Surgeon
Gum disease,Periodontist
Open wound from surgical incision,General Surgeon
Gastrointestinal hemorrhage,Gastroenterologist
Drug abuse (methamphetamine),Psychiatrist
Torticollis,Neurologist
Poisoning due to antihypertensives,General Physician
Tension headache,Neurologist
Alcohol intoxication,Emergency Medicine Specialist 
Scurvy,Nutritionist
Narcolepsy,Neurologist
Primary kidney disease,Nephrologist
Uterine cancer,Oncologist
Dry eye of unknown cause,Ophthalmologist
Fibrocystic breast disease,General Surgeon
Fungal infection of the hair,Dermatologist
Tooth abscess, Oral Surgeon
Leptospirosis,Infectious Disease Specialist
Envenomation from spider or animal bite,Emergency Medicine Specialist 
VACTERL syndrome,General Physician
Vertebrobasilar insufficiency,Neurologist
Rectal disorder,General Surgeon
Atonic bladder,Urologist
Benign paroxysmal positional vertigo (BPPV),ENT Specialist
Blepharospasm,Neurologist
Sarcoidosis,Pulmonologist
Metastatic cancer,Oncologist
Trigger finger (finger disorder),Orthopedic
Stye,Ophthalmologist
Hemochromatosis,Hematologist
Osteochondroma,Orthopedic
Cushing syndrome,Endocrinologist
Typhoid fever,Infectious Disease Specialist
Vitreous degeneration,Ophthalmologist
Atrophic skin condition,Dermatologist
Aspergillosis,Infectious Disease Specialist
Uterine atony,Gynecologist
Trichinosis,Infectious Disease Specialist
Whooping cough,Infectious Disease Specialist
Pick disease,Neurologist
Open wound of the lip,Plastic Surgeon
Subacute thyroiditis,Endocrinologist
Oral mucosal lesion,Oral Surgeon
Open wound due to trauma,General Surgeon
Intracerebral hemorrhage,Neuro Surgeon
Alzheimer disease,Neurologist
Vaginismus,Gynecologist 
Systemic lupus erythematosus (SLE),Rheumatologist
Premature ovarian failure,Endocrinologist 
Thoracic outlet syndrome,Vascular Surgeon
Ganglion cyst,Orthopedic
Dislocation of the knee,Orthopedic
Crohn disease,Gastroenterologist
Postoperative infection,Infectious Disease Specialist
Folate deficiency,Hematologist
Fluid overload,Nephrologist
Atrial flutter,Cardiologist
Floaters,Ophthalmologist
Tooth disorder,Dentist
Heart attack,Cardiologist
Open wound of the abdomen,General Surgeon
Fracture of the leg,Orthopedic
Oral thrush (yeast infection),Dentist
Pityriasis rosea,Dermatologist
Allergy to animals,Immunologist
Orthostatic hypotension,Cardiologist
Obstructive sleep apnea (OSA),Pulmonologist
Hypokalemia,Nephrologist
Dislocation of the shoulder,Orthopedic Surgeon
Intussusception,General Surgeon 
Cervicitis,Gynecologist
Abscess of the pharynx,ENT Specialist
Primary thrombocythemia,Hematologist
Arthritis of the hip,Orthopedic Surgeon
Decubitus ulcer,Plastic Surgeon 
Hypernatremia,Nephrologist
Sensorineural hearing loss,ENT Specialist
Chronic ulcer,Vascular Surgeon
Osteoporosis,Endocrinologist
Ileus,General Surgeon
Sickle cell crisis,Hematologist
Urethritis,Urologist 
Prostatitis,Urologist
Poisoning due to anticonvulsants,General Physician
Testicular torsion,Urologist
Tricuspid valve disease,Cardiologist
Urethral stricture,Urologist
Vitamin D deficiency,Endocrinologist
Hydatidiform mole,Oncologist
Pain disorder affecting the neck,Orthopedic
Pelvic fistula,Urologist
Acute bronchiolitis,Pulmonologist
Presbyopia,Ophthalmologist
Dementia,Neurologist
Insect bite,Dermatologist
Paroxysmal ventricular tachycardia,Cardiologist
Congenital heart defect,Cardiologist
Connective tissue disorder,Rheumatologist
Poisoning due to gas,Emergency Medicine Specialist
Pyogenic skin infection,Dermatologist
Endometrial hyperplasia,Gynecologist
Acanthosis nigricans,Endocrinologist
Central atherosclerosis,Cardiologist
Viral exanthem,Infectious Disease Specialist
Blastomycosis,Infectious Disease Specialist
Noninfectious gastroenteritis,Gastroenterologist
Benign prostatic hyperplasia (BPH),Urologist
Menopause,Gynecologist
Primary immunodeficiency,Immunologist
Ovarian cancer,Oncologist
Cataract,Ophthalmologist
Dislocation of the hip,Orthopedic
Spinal stenosis,Neuro Surgeon
Intestinal obstruction,General Surgeon
Heart contusion,Cardiologist
Congenital malformation syndrome,General Physician
Sporotrichosis,Infectious Disease Specialist 
Lymphangitis,Infectious Disease Specialist
Wernicke Korsakoff syndrome,Neurologist
Intestinal disease,Gastroenterologist
Acute bronchitis,Pulmonologist
Persistent vomiting of unknown cause,Gastroenterologist
Open wound of the foot,Orthopedic 
Myocarditis,Cardiologist
Preeclampsia,Gynecologist 
Ischemic heart disease,Cardiologist
Neurofibromatosis,Neurologist 
Chickenpox,Infectious Disease Specialist
Pancreatic cancer, Oncologist
Neuropathy due to drugs,Neurologist
Croup,Pulmonologist
Idiopathic excessive menstruation,Gynecologist
Amblyopia,Ophthalmologist
Meckel diverticulum,General Surgeon
Dislocation of the wrist,Orthopedic
Ear drum damage,ENT Specialist
Erectile dysfunction,Urologist
Temporary or benign blood in urine,Urologist
Kidney disease due to longstanding hypertension,Nephrologist
Chondromalacia of the patella,Orthopedic Surgeon
Urethral disorder,Urologist
Lyme disease,Infectious Disease Specialist
Iron deficiency anemia,Hematologist
Acute respiratory distress syndrome (ARDS),Critical Care Specialist
Toxic multinodular goiter,Endocrinologist
Open wound of the finger,Plastic Surgeon
Autonomic nervous system disorder,Neurologist
Psychosexual disorder,Psychiatrist
Anemia,Hematologist
Tendinitis,Orthopedic
Common cold,General Physician
Amyotrophic lateral sclerosis (ALS),Neurologist
Central retinal artery or vein occlusion,Ophthalmologist
Paroxysmal supraventricular tachycardia,Cardiologist
Venous insufficiency,Vascular Surgeon
Trichomonas infection,Gynecologist
Depression,Psychiatrist
Drug abuse,Psychiatrist
Urinary tract obstruction,Urologist
Diabetes insipidus,Endocrinologist
Iridocyclitis,Ophthalmologist
Varicocele of the testicles,Urologist
Irritable bowel syndrome,Gastroenterologist
Fracture of the foot,Orthopedic
Ovarian cyst,Gynecologist
Chlamydia,Dermatologist
Parasitic disease,Infectious Disease Specialist
Fracture of the jaw,Oral Surgeon
Cytomegalovirus infection,Infectious Disease Specialist
Lipoma,General Surgeon
Female genitalia infection,Gynecologist
Pulmonary hypertension,Pulmonologist
Thyroid nodule,Endocrinologist
Broken tooth,Dentist
Dumping syndrome,Gastroenterologist
Lymphadenitis,Infectious Disease Specialist
Injury to the face,Plastic Surgeon
Aortic valve disease,Cardiologist 
Rheumatoid arthritis,Rheumatologist
Spermatocele,Urologist
Impetigo,Dermatologist
Anal fistula,General Surgeon
